Woche,Datum,Gesamtverkäufe (€),Kosten (€),Anzahl der Verkäufe,Rückgaben (€),Beschädigte Ware (€)
1,03.01.2024- 09.01.2024,12450.80,8715.56,145,180.00,70.00
2,10.01.2024- 16.01.2024,13280.45,9296.32,162,220.50,79.50
3,17.01.2024- 23.01.2024,11890.30,8323.21,138,250.00,100.00
4,24.01.2024- 30.01.2024,14520.75,10164.53,175,300.00,100.00
5,31.01.2024- 06.02.2024,12780.90,8946.63,155,200.00,100.00
6,07.02.2024- 13.02.2024,13450.60,9415.42,165,220.00,80.00
7,14.02.2024- 20.02.2024,15680.25,10976.18,188,200.00,100.00
8,21.02.2024- 27.02.2024,12890.40,9023.28,152,180.00,120.00
9,28.02.2024- 05.03.2024,13780.95,9646.67,168,200.00,100.00
10,06.03.2024- 12.03.2024,14250.30,9975.21,172,200.00,100.00
11,13.03.2024- 19.03.2024,15890.70,10923.49,182,200.00,100.00
12,20.03.2024- 26.03.2024,13560.80,9492.56,158,200.00,100.00
13,27.03.2024- 02.04.2024,14780.45,10346.32,176,200.00,100.00
14,03.04.2024- 09.04.2024,12990.30,9093.21,150,200.00,100.00
15,10.04.2024- 16.04.2024,15120.75,10584.53,180,200.00,100.00
16,17.04.2024- 23.04.2024,13280.90,9296.63,160,200.00,100.00
17,24.04.2024- 30.04.2024,14150.60,9905.42,170,200.00,100.00
18,01.05.2024- 07.05.2024,16180.25,11326.18,192,200.00,100.00
19,08.05.2024- 14.05.2024,13390.40,9373.28,157,200.00,100.00
20,15.05.2024- 21.05.2024,14280.95,9996.67,173,200.00,100.00
21,22.05.2024- 28.05.2024,14750.30,10325.21,177,200.00,100.00
22,29.05.2024- 04.06.2024,16390.70,11473.49,187,200.00,100.00
23,05.06.2024- 11.06.2024,13860.80,9702.56,163,200.00,100.00
24,12.06.2024- 18.06.2024,15080.45,10556.32,181,200.00,100.00
25,19.06.2024- 25.06.2024,13290.30,9303.21,155,200.00,100.00
26,26.06.2024- 02.07.2024,15420.75,10794.53,184,200.00,100.00
27,03.07.2024- 09.07.2024,13580.90,9506.63,164,200.00,100.00
28,10.07.2024- 16.07.2024,14450.60,10115.42,174,200.00,100.00
29,17.07.2024- 23.07.2024,16480.25,11536.18,196,200.00,100.00
30,24.07.2024- 30.07.2024,13690.40,9583.28,161,200.00,100.00
